"pack_name","price","price_text","reward_item","destination"
"Solis Alchemy Oil","19.2301","19g 23s 1c","Gold","Arcum Iris"
"Mahadevi Elephant Cookies","12.3465","12g 34s 65c","Gold","Arcum Iris"
"Falcorth Snowlion Yarn","13.5838","13g 58s 38c","Gold","Arcum Iris"
"Tigerspine Tigerspaw Pancakes","9.8325","9g 83s 25c","Gold","Arcum Iris"
"Silent Forest Dried Fruit","22.2391","22g 23s 91c","Gold","Arcum Iris"
"Villanelle Potpourri","17.8267","17g 82s 67c","Gold","Arcum Iris"
"Windscour Hearty Jerky","13.3041","13g 30s 41c","Gold","Arcum Iris"
"Perinoor Aged Spices","19.1436","19g 14s 36c","Gold","Arcum Iris"
"Rookborne Biscuit Sticks","20.2933","20g 29s 33c","Gold","Arcum Iris"
"Ynystere Preserves","29.2862","29g 28s 62c","Gold","Arcum Iris"
"Hasla Softened Fabric","27.9605","27g 96s 5c","Gold","Arcum Iris"
"Solis Juice Concentrate","16.8592","16g 85s 92c","Gold","Arcum Iris"
"Mahadevi Yule Logs","10.8867","10g 88s 67c","Gold","Arcum Iris"
"Falcorth Apple Tarts","11.9574","11g 95s 74c","Gold","Arcum Iris"
"Tigerspine Grape Jam","8.7042","8g 70s 42c","Gold","Arcum Iris"
"Silent Forest Pomme Candy","19.4689","19g 46s 89c","Gold","Arcum Iris"
"Villanelle Preserved Cherries","15.6401","15g 64s 1c","Gold","Arcum Iris"
"Windscour Bitter Herbs","11.7169","11g 71s 69c","Gold","Arcum Iris"
"Perinoor Potato Powder","16.7851","16g 78s 51c","Gold","Arcum Iris"
"Rookborne Fruit Leather","17.7837","17g 78s 37c","Gold","Arcum Iris"
"Ynystere Olive Oil","25.5833","25g 58s 33c","Gold","Arcum Iris"
"Hasla Cured Meat","24.4328","24g 43s 28c","Gold","Arcum Iris"
"Solis Red Spice","17.5996","17g 59s 96c","Gold","Arcum Iris"
"Mahadevi Pickles","11.3432","11g 34s 32c","Gold","Arcum Iris"
"Falcorth Carrot Cake","12.4649","12g 46s 49c","Gold","Arcum Iris"
"Tigerspine Seasoned Meat","9.0569","9g 5s 69c","Gold","Arcum Iris"
"Silent Forest Seasonings","20.334","20g 33s 40c","Gold","Arcum Iris"
"Villanelle Long Noodles","16.3226","16g 32s 26c","Gold","Arcum Iris"
"Windscour Chilled Beverages","12.2128","12g 21s 28c","Gold","Arcum Iris"
"Perinoor Fried Meat","17.5225","17g 52s 25c","Gold","Arcum Iris"
"Rookborne Millet Pilaf","18.5687","18g 56s 87c","Gold","Arcum Iris"
"Ynystere Bouquets","26.7391","26g 73s 91c","Gold","Arcum Iris"
"Hasla Specialty Tea","25.5344","25g 53s 44c","Gold","Arcum Iris"
"Solis Aged Honey","29.454","29g 45s 40c","Gold","Arcum Iris"
"Falcorth Aged Honey","20.585","20g 58s 50c","Gold","Arcum Iris"
"Villanelle Aged Honey","27.248","27g 24s 80c","Gold","Arcum Iris"
"Rookborne Aged Honey","31.1279","31g 12s 79c","Gold","Arcum Iris"
"Mahadevi Aged Salve","18.191","18g 19s 10c","Gold","Arcum Iris"
"Silent Forest Aged Salve","33.3119","33g 31s 19c","Gold","Arcum Iris"
"Perinoor Aged Salve","28.5834","28g 58s 34c","Gold","Arcum Iris"
"Hasla Aged Salve","42.0578","42g 5s 78c","Gold","Arcum Iris"
"Tigerspine Aged Cheese","14.3457","14g 34s 57c","Gold","Arcum Iris"
"Windscour Aged Cheese","19.6535","19g 65s 35c","Gold","Arcum Iris"
"Ynystere Aged Cheese","44.0844","44g 8s 44c","Gold","Arcum Iris"
"Mahadevi Aged Honey","18.6476","18g 64s 76c","Gold","Arcum Iris"
"Silent Forest Aged Honey","34.1771","34g 17s 71c","Gold","Arcum Iris"
"Perinoor Aged Honey","29.3207","29g 32s 7c","Gold","Arcum Iris"
"Hasla Aged Honey","43.1593","43g 15s 93c","Gold","Arcum Iris"
"Tigerspine Aged Honey","14.6982","14g 69s 82c","Gold","Arcum Iris"
"Windscour Aged Honey","20.1495","20g 14s 95c","Gold","Arcum Iris"
"Ynystere Aged Honey","45.2402","45g 24s 2c","Gold","Arcum Iris"
"Solis Aged Salve","28.7134","28g 71s 34c","Gold","Arcum Iris"
"Falcorth Aged Salve","20.0775","20g 7s 75c","Gold","Arcum Iris"
"Villanelle Aged Salve","26.5655","26g 56s 55c","Gold","Arcum Iris"
"Rookborne Aged Salve","30.3429","30g 34s 29c","Gold","Arcum Iris"
"Tigerspine Aged Salve","14.3457","14g 34s 57c","Gold","Arcum Iris"
"Windscour Aged Salve","19.6535","19g 65s 35c","Gold","Arcum Iris"
"Ynystere Aged Salve","44.0844","44g 8s 44c","Gold","Arcum Iris"
